CustAccount,courselist
 Expected Records,"10"
10162262,"1100,1110,1120,1190,1219,1231,1235,1240,1241,1247,1257,1272,1280,1299,131,1324,1373,1391,1392,1423,1434,1471,1474,1515,1518,1520,1527,153,1533,1540,1551,1552,1564,1573,158,1580,1585,1592,1600,1612,1613,1626,1637,1638,1651,1663,1664,1674,168,1700,1712,1730,174,1740,1750,177,179,1796,180,1810,1816,1823,1830,1841,1846,1852,1872,1884,1885,1898,190,1911,1920,193,1933,1942,1950,1956,1965,197,200,210,2100,217,218,2180,2201,2241,2250,2270,2271,2310,2336,2353,2390,2400,2402,243,2477,250,2598,268,2711,273,2752,2754,280,2830,291,3000,301,302,3021,303,3092,3120,3130,3150,3180,3181,323,3231,3232,3300,3305,3317,3340,3356,337,3372,3390,3391,340,3410,3430,3466,3467,3480,3482,349,350,363,3630,3650,367,370,3742,3757,380,3810,3830,3850,3851,3870,3871,3890,3910,3931,3932,408,4100,4123,415,4168,4222,4235,424,4244,4253,4278,4311,4320,4360,4363,437,4423,4427,443,4460,447,4473,4477,452,4617,4620,4621,463,467,470,4790,523,550,5574,5620,5621,5642,5665,5724,5831,600,6100,6101,6102,6103,6104,6105,6220,625,6340,6362,660,6810,687,700,7022,710,7100,7126,7130,7140,7170,7171,7175,7180,7187,720,7237,7240,7241,7250,7261,7264,7270,728,7290,730,7320,7321,7330,740,750,751,7510,752,753,754,7544,755,756,7640,7641,7751,780,7820,7868,7901,7912,805,8050,8051,8080,810,8122,8128,8190,8210,8211,8215,8216,8220,8232,8267,8270,8276,8313,8320,8380,8410,8422,8480,8593,8678,8700,8701,888,899,9123,9180,9388"
41889443,"1012,1153,1564,1700,1796,2140,2198,2368,8593,9344,9382"
42443052,"1050,1474,1557,158,3910,4878,5892,6172,6220,6325,6326,6537,805,8557,8588,9211,9212,9222,9711,9712,9716"
50231002,"1014,1050,1406,1411,1981,611,615,6481,657,728,9162,9170,9171,9176,9211,9214,9231,9292"
50357980,"1960,1961,1970,297,3021,3630,5724,5831,5972,7126,9211,9231,9253"
50612510,"2353,243,2711,3000,301,302,367,370,3890,390,408,4200,4294,4320,4620,4621,470,4790,4812,5913,5932,6410,8480,8678,8820,9344,9382,9422"
50757776,"1580,160,1750,1752,1810,2400,4200,700,7100,740,746,8470,8480,8482,8490"
50767525,"1100,1406,1474,1580,177,1965,2368,243,273,301,302,303,323,327,337,340,408,415,7175,805"
50797533,"1007,1132,1406,1651,177,1933,2031,5955,6593"
50797534,"1406,6593"
